Stock,Annual_Return,Volatility,Sharpe,Sortino,VaR_95,CVaR_95,Max_Drawdown
HDFCBANK,0.19896604110520946,0.3805003906304717,0.36521918118125746,0.38792739068568743,-0.02803362166141134,-0.04790881866116178,-0.8417647517343518
HEROMOTOCO,0.1376141578119166,0.3881900619303889,0.19993854924043522,0.2366800785192979,-0.03287495660971547,-0.05021150361673273,-0.9098984281466033
HINDALCO,0.11605584461047594,0.47070599338455527,0.11908886948180375,0.14112710764351485,-0.04181342727237699,-0.0631740877663993,-0.9746027434469645
HINDUNILVR,0.11074541161389577,0.3577123608966783,0.14186093957360651,0.15287997817312807,-0.02726832927791872,-0.04347350923961544,-0.9662077198567449
ICICIBANK,0.2348141617202989,0.47589642609622956,0.3673365718551339,0.45929821137038235,-0.039553481305978536,-0.06374260959141817,-0.897998996711443
INDUSINDBK,0.3078404114425729,0.5070560424061565,0.4887830746804326,0.657011304893092,-0.04164935364727613,-0.06980617057839279,-0.8510664590593411
INFY,0.03004758590431909,0.47690265320204683,-0.06280613851605288,-0.060703713238173494,-0.03308758415172126,-0.06703560185753767,-0.9687676125273643
IOC,0.04776429337493284,0.420966346802559,-0.029065759574377244,-0.032510925210085286,-0.0337238007735031,-0.05679586512539151,-0.9099943392666207
ITC,0.08115809120545127,0.3912505729387599,0.0540781091936267,0.053374031208584846,-0.028531777090238585,-0.05002449466478355,-0.9404927581052522
JSWSTEEL,0.23775695142854233,0.5232141855101095,0.3397403135299892,0.4009772995477284,-0.04416852734531767,-0.06896186069698551,-0.9244584038012402
KOTAKBANK,0.2595655824941796,0.5194870275937638,0.38415893351284786,0.41855055870752295,-0.0388707744220469,-0.06995772298663863,-0.8894513059323749
LT,0.1386773717378122,0.409360850680962,0.19219564256556126,0.2170786935770674,-0.032811657863901604,-0.054639655092442944,-0.8752856857567621
MARUTI,0.26843002464472043,0.3448061961593141,0.60448456833536,0.8984093891396574,-0.03172060959145653,-0.0475714503302866,-0.6133966466361306
MM,0.13123403371296904,0.4418996592802381,0.1611995669537163,0.18794760918820055,-0.03737922794117888,-0.06217015235098877,-0.9207708779443255
NESTLEIND,0.1979446397513056,0.2422609130237381,0.5694052665350476,0.890241349737896,-0.021488446441186165,-0.03205279677662487,-0.324010582581934
NIFTY50_all,0.2045354471259766,0.8814739837340259,0.16397017926009327,0.3397043413844573,-0.03529653911580072,-0.060457206285736226,-0.9997215624757508
NTPC,0.06442764979455828,0.3019244002475188,0.01466476306959132,0.02115179826345705,-0.027566860519808677,-0.04263714151194389,-0.7316002107851748
ONGC,0.07417573292611494,0.41680340100490926,0.03401059802280274,0.0387831224379337,-0.0337532689912382,-0.0559915272851915,-0.9595741813771729
POWERGRID,0.10296403871982547,0.29711864457583836,0.14460229778296227,0.20205303281043793,-0.025857111494230565,-0.0413750139627417,-0.6412001237240953
RELIANCE,0.1782303529130563,0.3815265303616212,0.3098876316700556,0.3584289020791934,-0.03078329379187725,-0.05194393804363884,-0.7900864678578636
SBIN,0.15466645273716736,0.4260924826193047,0.2221734872092261,0.25597189334199205,-0.0358635903287321,-0.054893545148033074,-0.956775885041333
