Stock,Allocation_%,Profile,Predicted_Return,Sharpe,Sortino,Volatility,Max_Drawdown
ASIANPAINT,5.55,Conservative,0.0005999742609781658,0.4021785926193203,0.3909774020282072,0.3548751263061114,-0.92480481862999
BAJAJ-AUTO,8.39,Conservative,0.0003145066992135197,0.4381080576673202,0.5131758861778692,0.3388339741995843,-0.5991511318242343
BHARTIARTL,5.58,Conservative,0.000600550261126132,0.3857284973846379,0.5502909787121751,0.3998991896178808,-0.7847465908586151
BRITANNIA,5.45,Conservative,0.0002229094078043688,0.2701764788057701,0.2801304430034674,0.3356859094055829,-0.8536304097130051
DRREDDY,1.54,Conservative,0.0005393366459958099,0.1981893968244399,0.2276511027713104,0.3690254610467924,-0.8130794412374741
GRASIM,2.67,Conservative,0.0007006844794818125,0.2432931843924608,0.2744311943354741,0.3955831607598807,-0.9243109286619624
HDFCBANK,2.69,Conservative,-7.79944544521706e-05,0.3652191811812574,0.3879273906856874,0.3805003906304717,-0.8417647517343518
HEROMOTOCO,2.2,Conservative,0.00011322998366100693,0.1999385492404352,0.2366800785192979,0.3881900619303889,-0.9098984281466032
HINDUNILVR,2.12,Conservative,0.0005604748933253223,0.1418609395736065,0.152879978173128,0.3577123608966783,-0.9662077198567448
ITC,1.49,Conservative,0.00026186933577830655,0.0540781091936267,0.0533740312085848,0.3912505729387599,-0.9404927581052522
MARUTI,6.67,Conservative,-0.00037140684205020426,0.60448456833536,0.8984093891396574,0.3448061961593141,-0.6133966466361306
NESTLEIND,15.37,Conservative,0.0003901924823398287,0.5694052665350476,0.890241349737896,0.2422609130237381,-0.324010582581934
NTPC,9.19,Conservative,0.0019098912571430668,0.0146647630695913,0.021151798263457,0.3019244002475188,-0.7316002107851748
POWERGRID,12.05,Conservative,0.00044171213344164193,0.1446022977829622,0.2020530328104379,0.2971186445758383,-0.6412001237240953
RELIANCE,0.63,Conservative,0.0002627000079663014,0.3098876316700556,0.3584289020791934,0.3815265303616212,-0.7900864678578636
SHREECEM,4.79,Conservative,0.0002072039168546737,0.8271098839069405,1.2961158975952654,0.3896648620416298,-0.7997340264764553
TCS,5.48,Conservative,-0.0013742859725472277,0.2445182848072064,0.2519335826473349,0.3769441452959109,-0.8205949992660372
ULTRACEMCO,7.67,Conservative,0.00011074266849525869,0.5680387770167149,0.8704490654136592,0.3326471111335078,-0.7777968501909626
ASIANPAINT,5.09,Balanced,0.0005999742609781658,0.4021785926193203,0.3909774020282072,0.3548751263061114,-0.92480481862999
BAJAJ-AUTO,4.0,Balanced,0.0003145066992135197,0.4381080576673202,0.5131758861778692,0.3388339741995843,-0.5991511318242343
BAJAJFINSV,9.11,Balanced,0.0008362243874848274,0.6563296478759791,0.924422886674348,0.4009395792068002,-0.867894315452362
BHARTIARTL,6.43,Balanced,0.000600550261126132,0.3857284973846379,0.5502909787121751,0.3998991896178808,-0.7847465908586151
HINDALCO,2.58,Balanced,0.0011895968382523564,0.1190888694818037,0.1411271076435148,0.4707059933845552,-0.9746027434469644
NESTLEIND,10.66,Balanced,0.0003901924823398287,0.5694052665350476,0.890241349737896,0.2422609130237381,-0.324010582581934
NTPC,20.0,Balanced,0.0019098912571430668,0.0146647630695913,0.021151798263457,0.3019244002475188,-0.7316002107851748
POWERGRID,10.21,Balanced,0.00044171213344164193,0.1446022977829622,0.2020530328104379,0.2971186445758383,-0.6412001237240953
SBIN,20.0,Balanced,0.001957355498433872,0.2221734872092261,0.255971893341992,0.4260924826193047,-0.956775885041333
SHREECEM,2.01,Balanced,0.0002072039168546737,0.8271098839069405,1.2961158975952654,0.3896648620416298,-0.7997340264764553
TECHM,8.97,Balanced,0.0010819615585545303,0.2286170481691912,0.2607019608398212,0.4442657673696804,-0.8943356219709209
ICICIBANK,1.4,Aggressive,0.0012867569479824606,0.3673365718551339,0.4592982113703823,0.4758964260962295,-0.897998996711443
INFY,15.57,Aggressive,0.0017597834177145368,-0.0628061385160528,-0.0607037132381734,0.4769026532020468,-0.9687676125273644
NTPC,20.0,Aggressive,0.0019098912571430668,0.0146647630695913,0.021151798263457,0.3019244002475188,-0.7316002107851748
SBIN,20.0,Aggressive,0.001957355498433872,0.2221734872092261,0.255971893341992,0.4260924826193047,-0.956775885041333
TATAMOTORS,20.0,Aggressive,0.005054356657511808,0.2008343600768314,0.2514938537838923,0.4880732957853207,-0.95216642859759
UPL,3.03,Aggressive,0.0013409464317328474,0.1856658545817571,0.2091199309753236,0.4770552283223674,-0.9253084865273232
VEDL,20.0,Aggressive,0.002883866367294748,0.3783430344388677,0.4668911425146425,0.5684109892224138,-0.9858316836241424
